页号,章节/方法名,方法标识符,函数签名,说明
70,提取选择集内容,GetSelObjList,SSProcess.GetSelObjList(Handle),提取选择集内容 Online Help 提取选择集内容 GetSelObjList 函数 GetSelObjList 函数 提取选择集内容。 SSProcess.GetSelObjList(Handle) 参数 Handle 数据源句柄 说明 执行该函数，将提取选择集内容。
71,获取当前选择集指定地物的面心点坐标,GetSelPolygonFocus,"SSProcess.GetSelPolygonFocus(index,x,y,z)","获取当前选择集指定地物的面心点坐标 Online Help 获取当前选择集指定地物的面心点坐标 GetSelPolygonFocus 函数 GetSelPolygonFocus 函数 获取当前选择集指定地物的面心点坐标。 SSProcess.GetSelPolygonFocus(index,x,y,"
72,获取对象序列ID列表,GetSeqIDList,"SSProcess.GetSeqIDList(geoID, seqIDList, seqTableName)","获取对象序列ID列表 Online Help 获取对象序列 ID 列表 GetSeqIDList 函数 GetSeqIDList 函数 获取对象序列 ID 列表。 SSProcess.GetSeqIDList(geoID, seqIDList, seqTableName) 参数 geoID 地物 I"
73,获取对象序列属性,GetSeqRecordCount,"SSProcess.GetSeqRecordCount( geoID,seqTableName)","获取对象序列属性 Online Help 获取对象序列属性 GetSeqRecord 函数 GetSeqRecord 函数 获取对象序列属性。 GetSeqRecord(geoID,seqID,fieldNames,fieldValues,seqTableName) 参数 geoID 对象 ID s"
74,获取对象序列属性个数,GetSeqRecordCount,"SSProcess.GetSeqRecordCount(geoID,seqTableName)","获取对象序列属性个数 Online Help 获取对象序列属性个数 GetSeqRecordCount 函数 GetSeqRecordCount 函数 获取对象序列属性个数。 SSProcess.GetSeqRecordCount(geoID,seqTableName) 参数 geoID 对象 ID"
75,从二进制流导入数据,ImportDataFromStream,SSProcess.ImportDataFromStream(byteObjList),从二进制流导入数据 Online Help 从二进制流导入数据 ImportDataFromStream 函数 ImportDataFromStream 函数 从二进制流导入数据。 SSProcess.ImportDataFromStream(byteObjList) 参数 byteObjList 
76,从二进制流导入房产数据,ImportDataFromStream4House,SSProcess.ImportDataFromStream4House,从二进制流导入房产数据 Online Help 从二进制流导入房产数据 ImportDataFromStream4House 函数 ImportDataFromStream4House 函数 从二进制流导入房产数据。 SSProcess.ImportDataFromStream4House 参数 说
77,插入对象序列属性,InsertSeqRecord,"SSProcess.InsertSeqRecord(geoID,seqID,fieldNames,fieldValues,seqTableName)","插入对象序列属性 Online Help 插入对象序列属性 InsertSeqRecord 函数 InsertSeqRecord 函数 插入对象序列属性。 SSProcess.InsertSeqRecord(geoID,seqID,fieldNames,fieldValues,seqTableNam"
78,是否为顺时针,IsClockwise,SSProcess.IsClockwise(geoID),是否为顺时针 Online Help 是否为顺时针 IsClockwise 函数 IsClockwise 函数 是否为顺时针。 SSProcess.IsClockwise(geoID) 参数 geoID 地物 ID 说明 执行该函数，判断该地物是否为顺时针。 返回 0 逆时针 1 顺时针 示例 Su
79,判断编码是否存在,IsExistentFeatureCode,SSProcess.IsExistentFeatureCode( code ),判断编码是否存在 Online Help 判断编码是否存在 IsExistentFeatureCode 函数 IsExistentFeatureCode 函数 判断编码是否存在。 SSProcess.IsExistentFeatureCode( code ) 参数 code 要判断的编码 说明 执行
80,判断分类号是否存在,IsExistentFontClass,SSProcess.IsExistentFontClass( code ),判断分类号是否存在 Online Help 判断分类号是否存在 IsExistentFontClass 函数 IsExistentFontClass 函数 判断注记分类号是否存在。 SSProcess.IsExistentFontClass( code ) 参数 code 要判断的注记分类号 说明 
81,线分解,LineCrack,"SSProcess.LineCrack(geoID,longcrackMode)","线分解 Online Help 线分解 LineCrack 函数 LineCrack 函数 线分解。 SSProcess.LineCrack(geoID,longcrackMode) 参数 geoID 地物 ID longcrackMode 分解模式 0 ：分解折线； 1 ：分解多义线 说明 执行该"
82,距离平行线,LineParallelDist,"SSProcess.LineParallelDist(geoID,dist,direction,wholeLine,moveOrCopy)","距离平行线 Online Help 距离平行线 LineParallelDist 函数 LineParallelDist 函数 距离平行线。 SSProcess.LineParallelDist(geoID,dist,direction,wholeLine,moveOrCopy) 参数 geoID "
83,比例平行线,LineParallelScale,"SSProcess.LineParallelScale(geoID,side,newDist,moveOrCopy)","比例平行线 Online Help 比例平行线 LineParallelScale 函数 LineParallelScale 函数 比例平行线。 SSProcess.LineParallelScale(geoID,side,newDist,moveOrCopy) 参数 geoID 地物 ID sid"
84,锁定(解锁)指定地物的点列,LockObjectPoint,SSProcess.LockObjectPoint(geoID status),锁定(解锁)指定地物的点列 Online Help 锁定 ( 解锁 ) 指定地物的点列 LockObjectPoint 函数 LockObjectPoint 函数 锁定 ( 解锁 ) 指定地物的点列。 SSProcess.LockObjectPoint(geoID status) 参数 geoID 
85,锁定(解锁)当前选择集指定地物的点列,LockSelGeoPoint,"SSProcess.LockSelGeoPoint( index, status )","锁定(解锁)当前选择集指定地物的点列 Online Help 锁定 ( 解锁 ) 当前选择集指定地物的点列 LockSelGeoPoint 函数 LockSelGeoPoint 函数 锁定 ( 解锁 ) 当前选择集指定地物的点列。 SSProcess.LockSelGeoPoint( index, "
86,锁定(解锁)当前选择集指定注记的点列,LockSelNotePoint,"SSProcess.LockSelNotePoint(index, status)",锁定(解锁)当前选择集指定注记的点列 Online Help 锁定 ( 解锁 ) 当前选择集指定注记的点列 LockSelNotePoint 函数 LockSelNotePoint 函数 锁定 ( 解锁 ) 当前选择集指定注记的点列。 SSProcess.LockSelNotePoint(index
