页号,章节/方法名,方法标识符,函数签名,说明
284,打印指定图幅,PrintMap,SSProcess.PrintMap(frameIndex),"打印指定图幅 Online Help 打印指定图幅 PrintMap 函数 PrintMap 函数 打印指定图幅。 SSProcess.PrintMap(frameIndex) 参数 frameIndex 缓存图幅索引号 , 从 0 开始 说明 执行该函数，将打印指定缓存图幅的地图数据。 示例 Su"
285,根据坐标范围打印,PrintMapByCoord,"SSProcess.PrintMapByCoord(x,y,width,height,angle)","根据坐标范围打印 Online Help 根据坐标范围打印 PrintMapByCoord 函数 PrintMapByCoord 函数 根据坐标范围打印。 SSProcess.PrintMapByCoord(x,y,width,height,angle) 参数 x 中心 X 坐标 y 中心 Y 坐标"
286,设置指定坐标处为当前图幅,SetCurMapFrame,"SSProcess.SetCurMapFrame(x,y,addToMapLink,mapLinkTable)","设置指定坐标处为当前图幅 Online Help 设置指定坐标处为当前图幅 SetCurMapFrame 函数 SetCurMapFrame 函数 设置指定坐标处为当前图幅。 SSProcess.SetCurMapFrame(x,y,addToMapLink,mapLinkTable) 参数 x 要"
287,外部函数,,,外部函数 Online Help 外部函数 外部函数 增加外部模块函数参数 AddFunctionParameter 三点弧求圆心半径和排序后弧角 Arc3pToCenter 三点求圆心和半径 Circle3pToCenter 清空外部模块函数参数列表 ClearFunctionParameter 
288,增加外部模块函数参数,AddFunctionParameter,SSProcess.AddFunctionParameter( parameter ),增加外部模块函数参数 Online Help 增加外部模块函数参数 AddFunctionParameter 函数 AddFunctionParameter 函数 设置外部模块函数参数。 SSProcess.AddFunctionParameter( parameter ) 参数 parameter
289,三点弧求圆心半径和排序后弧角,Arc3pToCenter,"SSProcess.Arc3pToCenter(p0x, p0y, p1x, p1y, p2x, p2y, centerx, centery, r, ang1, ang2, ang3)","三点弧求圆心半径和排序后弧角 Online Help 三点弧求圆心半径和排序后弧角 Arc3pToCenter 函数 Arc3pToCenter 函数 三点弧求圆心、半径和排序后弧角。 SSProcess.Arc3pToCenter(p0x, p0y, p1x, p1y, p2x, p2y, cen"
290,三点求圆心和半径,Circle3pToCenter,"SSProcess.Circle3pToCenter(p0x, p0y, p1x, p1y, p2x, p2y, centerx, centery, r)","三点求圆心和半径 Online Help 三点求圆心和半径 Circle3pToCenter 函数 Circle3pToCenter 函数 三点求圆心和半径。 SSProcess.Circle3pToCenter(p0x, p0y, p1x, p1y, p2x, p2y, centerx, cent"
291,清空外部模块函数参数列表,ClearFunctionParameter,SSProcess.ClearFunctionParameter(),清空外部模块函数参数列表 Online Help 清空外部模块函数参数列表 ClearFunctionParameter 函数 ClearFunctionParameter 函数 清空外部模块函数参数列表。 SSProcess.ClearFunctionParameter() 参数 说明 执行该函数
292,解密字符串,DecryptData,"SSProcess.DecryptData(passWord, data)","解密字符串 Online Help 解密字符串 DecryptData 函数 DecryptData 函数 解密字符串。 SSProcess.DecryptData(passWord, data) 参数 password 密码 data 需解密的字符串 说明 示例 Sub OnClick() str"
293,加密字符串,EncryptData,"SSProcess.EncryptData(passWord, data)","加密字符串 Online Help 加密字符串 EncryptData 函数 EncryptData 函数 加密字符串。 SSProcess.EncryptData(passWord, data) 参数 passWord 密码 data 需加密的字符串 说明 使用此函数将加密字符串。 示例 Sub "
294,执行外部模块函数,ExecuteCommand,"SSProcess.ExecuteCommand(libFileName, procName, commandDescription, transSelection)","执行外部模块函数 Online Help 执行外部模块函数 ExecuteCommand 函数 ExecuteCommand 函数 调用外部模块函数。 SSProcess.ExecuteCommand(libFileName, procName, commandDescription, transS"
295,执行外部模块中的函数,ExecuteFuction,"SSProcess.ExecuteFuction(ModuleAndCmdName, commandDescription)","执行外部模块中的函数 Online Help 执行外部模块中的函数 ExecuteFuction 函数 ExecuteFuction 函数 执行外部模块中的函数。 SSProcess.ExecuteFuction(ModuleAndCmdName, commandDescription) 参数 Mo"
296,执行SDL命令,ExecuteSDLFunction,"SSProcess.ExecuteSDLFunction(SDLCommandInfo, Reason)","执行SDL命令 Online Help 执行 SDL 命令 ExecuteSDLFunction 函数 ExecuteSDLFunction 函数 执行 SDL 命令。 SSProcess.ExecuteSDLFunction(SDLCommandInfo, Reason) 参数 SDLComman"
297,执行SDL功能参数设置,ExecuteSDLFunctionSetup,"SSProcess.ExecuteSDLFunctionSetup(SDLName, CmdName, Parameters)","执行SDL功能参数设置 Online Help 执行 SDL 功能参数设置 ExecuteSDLFunctionSetup 函数 ExecuteSDLFunctionSetup 函数 执行 SDL 功能参数设置。 SSProcess.ExecuteSDLFunctionSetup(SDLName, "
298,加载外部模块,LoadXLibrary,SSProcess.LoadXLibrary(libFileName),"加载外部模块 Online Help 加载外部模块 LoadXLibrary 函数 LoadXLibrary 函数 加载外部模块。 SSProcess.LoadXLibrary(libFileName) 参数 libFileName 外部模块名称 , 如果没有指定路径，则认为是放在 EPS 执行目录"
299,执行系统回调函数,MapCallBackFunction,"SSProcess.MapCallBackFunction(param, data, flags)","执行系统回调函数 Online Help 执行系统回调函数 MapCallBackFunction 函数 MapCallBackFunction 函数 执行系统回调函数。 SSProcess.MapCallBackFunction(param, data, flags) 参数 param 回调方法名"
300,执行系统回调函数,MapCallBackFunction1,"SSProcess.MapCallBackFunction1(param, data, flags)","执行系统回调函数 Online Help 执行系统回调函数 MapCallBackFunction1 函数 MapCallBackFunction1 函数 执行系统回调函数。 SSProcess.MapCallBackFunction1(param, data, flags) 参数 param 回调"
301,卸载外部模块,UnLoadXLibrary,SSProcess.UnLoadXLibrary( libFileName ),"卸载外部模块 Online Help 卸载外部模块 UnLoadXLibrary 函数 UnLoadXLibrary 函数 卸载外部模块。 SSProcess.UnLoadXLibrary( libFileName ) 参数 libFileName 外部模块名称 , 如果没有指定路径，则认为是放在 "
302,执行外部程序,WinExec,"SSProcess.WinExec(commandLine, flag)","执行外部程序 Online Help 执行外部程序 WinExec 函数 WinExec 函数 执行外部程序。 SSProcess.WinExec(commandLine, flag) 参数 commandLine 外部程序名称 flag 外部程序启动类型， 0 隐藏； 1 默认大小显示并激活； 2"
303,系统设置,,,系统设置 Online Help 系统设置 系统设置 增加显示可控对象条件信息 AddDispFilterInfo 添加编码定义 AddFeatureCode 添加注记分类定义 AddFontClass 添加录入参数 AddInputParameter 清空显示可控对象条件信息 ClearDispF
304,增加显示可控对象条件信息,AddDispFilterInfo,"SSProcess.AddDispFilterInfo(type, reverse, visib l e, colorvalid, color, values)","增加显示可控对象条件信息 Online Help 增加显示可控对象条件信息 AddDispFilterInfo 函数 AddDispFilterInfo 函数 增加显示可控对象条件信息。 SSProcess.AddDispFilterInfo(type, reverse, visib l e, co"
305,添加编码定义,AddFeatureCode,"SSProcess.AddFeatureCode(code, geoType, symbolType, objName, layerName, lineWidth, color)","添加编码定义 Online Help 添加编码定义 AddFeatureCode 函数 AddFeatureCode 函数 添加编码定义。 SSProcess.AddFeatureCode(code, geoType, symbolType, objName, layerName, lineWidt"
306,添加注记分类定义,AddFontClass,"SSProcess.AddFontClass(code, objName, layerName, fontName, fontWidth, fontHeight, color)","添加注记分类定义 Online Help 添加注记分类定义 AddFontClass 函数 AddFontClass 函数 添加注记分类定义。 SSProcess.AddFontClass(code, objName, layerName, fontName, fontWidth, fontHeig"
307,添加录入参数,AddInputParameter,"SSProcess.AddInputParameter(name, value, type, options, description)","添加录入参数 Online Help 添加录入参数 AddInputParameter 函数 AddInputParameter 函数 添加录入参数。 SSProcess.AddInputParameter(name, value, type, options, description) 参数 na"
308,清空显示可控对象条件信息,ClearDispFilterInfo,SSProcess.ClearDispFilterInfo(),清空显示可控对象条件信息 Online Help 清空显示可控对象条件信息 ClearDispFilterInfo 函数 ClearDispFilterInfo 函数 清空显示可控对象条件信息。 SSProcess.ClearDispFilterInfo() 参数 说明 执行该函数，将清空由 Add
309,清除录入参数,ClearInputParameter,SSProcess.ClearInputParameter(),清除录入参数 Online Help 清除录入参数 ClearInputParameter 函数 ClearInputParameter 函数 清除录入参数。 SSProcess.ClearInputParameter() 参数 说明 使用此函数清除录入的参数。 示例 Dim oldCursorSt
310,删除编码定义,DeleteFeatureCode,SSProcess.DeleteFeatureCode,删除编码定义 Online Help 删除编码定义 DeleteFeatureCode 函数 DeleteFeatureCode 函数 删除编码定义。 SSProcess.DeleteFeatureCode(code ） 参数 code 地物编码 说明 执行该函数，从模版中删除指定编码的地物。
311,删除注记分类定义,DeleteFontClass,SSProcess.DeleteFontClass(code),删除注记分类定义 Online Help 删除注记分类定义 DeleteFontClass 函数 DeleteFontClass 函数 删除注记分类定义。 SSProcess.DeleteFontClass(code) 参数 code 注记分类号 说明 执行该函数，从模版中删除指定编码的地物注记。
312,创建系统进程条,EpsProgressCreate,"SSProcess.EpsProgressCreate(size, msg)","创建系统进程条 Online Help 创建系统进程条 EpsProgressCreate 函数 EpsProgressCreate 函数 创建系统进程条。 SSProcess.EpsProgressCreate(size, msg) 参数 size 进度条的长度 msg 进度条的标题 说明 执行该"
313,删除系统进程条,EpsProgressDelete,SSProcess.EpsProgressDelete(),删除系统进程条 Online Help 删除系统进程条 EpsProgressDelete 函数 EpsProgressDelete 函数 删除系统进程条。 SSProcess.EpsProgressDelete() 参数 说明 执行该函数，删除 eps 进度条。 注意：创建了进度条才可以删除，没有
314,获取系统进程条当前位置,EpsProgressGetPos,SSProcess.EpsProgressGetPos(),获取系统进程条当前位置 Online Help 获取系统进程条当前位置 EpsProgressGetPos 函数 EpsProgressGetPos 函数 获取系统进程条当前位置。 SSProcess.EpsProgressGetPos() 参数 说明 使用此函数将返回系统进程条当前位置。
315,获取系统进程条区间,EpsProgressGetRange,"SSProcess.EpsProgressGetRange(nLower, nUpper)","获取系统进程条区间 Online Help 获取系统进程条区间 EpsProgressGetRange 函数 EpsProgressGetRange 函数 清空显示可控对象条件信息。 SSProcess.EpsProgressGetRange(nLower, nUpper) 参数 nLower 系统"
316,设置系统进程条当前位置,EpsProgressSetPos,SSProcess.EpsProgressSetPos(pos),设置系统进程条当前位置 Online Help 设置系统进程条当前位置 EpsProgressSetPos 函数 EpsProgressSetPos 函数 清空显示可控对象条件信息。 SSProcess.EpsProgressSetPos(pos) 参数 pos 系统进程条当前位置 说明 执行该函数
317,设置系统进程条区间,EpsProgressSetRange32,"SSProcess.EpsProgressSetRange32(nLower, nUpper)","设置系统进程条区间 Online Help 设置系统进程条区间 EpsProgressSetRange32 函数 EpsProgressSetRange32 函数 设置系统进程条区间。 SSProcess.EpsProgressSetRange32(nLower, nUpper) 参数 nLower"
318,设置系统进程条步距,EpsProgressSetStep,SSProcess.EpsProgressSetStep(step),设置系统进程条步距 Online Help 设置系统进程条步距 EpsProgressSetStep 函数 EpsProgressSetStep 函数 设置系统进程条步距。 SSProcess.EpsProgressSetStep(step) 参数 step 系统进程条步距 说明 该函数用于设置系统
319,设置进度条样式,EpsProgressSetStyle,SSProcess.EpsProgressSetStyle(nStyle),设置进度条样式 Online Help 设置进度条样式 EpsProgressSetStyle 函数 EpsProgressSetStyle 函数 设置进度条样式。 SSProcess.EpsProgressSetStyle(nStyle) 参数 nStyle 进度条样式： 0 附加在主窗口的状态条
320,系统进程条单步滚动,EpsProgressStepIt,SSProcess.EpsProgressStepIt,系统进程条单步滚动 Online Help 系统进程条单步滚动 EpsProgressStepIt 函数 EpsProgressStepIt 函数 系统进程条的单步滚动。 SSProcess.EpsProgressStepIt 参数 说明 执行该函数，将清空由 AddDispFilterInfo 设
321,更新系统进程条信息,EpsProgressUpdateMsg,SSProcess.EpsProgressUpdateMsg(msg),更新系统进程条信息 Online Help 更新系统进程条信息 EpsProgressUpdateMsg 函数 EpsProgressUpdateMsg 函数 更新系统进程条信息。 SSProcess.EpsProgressUpdateMsg(msg) 参数 msg 提示信息。 说明 该函数用于更新
322,获取编码挂接的属性表,GetCodeAttrTableName,"SSProcess.GetCodeAttrTableName(code, tableType)","获取编码挂接的属性表 Online Help 获取编码挂接的属性表 GetCodeAttrTableName 函数 GetCodeAttrTableName 函数 获取编码挂接的属性表。 SSProcess.GetCodeAttrTableName(code, tableType) 参数 code "
323,获取系统颜色表,GetColorInfoTB,SSProcess.GetColorInfoTB(),获取系统颜色表 Online Help 获取系统颜色表 GetColorInfoTB 函数 GetColorInfoTB 函数 获取当前工程所用的颜色信息表。 SSProcess.GetColorInfoTB() 参数 说明 获取当前工程所用的颜色信息表。 返回颜色表名。 示例 Sub OnClic
324,获取当前光标屏幕坐标,GetCursorPoint,"SSProcess.GetCursorPoint(x,y)","获取当前光标屏幕坐标 Online Help 获取当前光标屏幕坐标 GetCursorPoint 函数 GetCursorPoint 函数 获取当前光标屏幕坐标。 SSProcess.GetCursorPoint(x,y) 参数 x 当前光标屏幕 x 坐标 y 当前光标屏幕 y 坐标 说明 执行该函"
325,获取当前光标实地坐标,GetCursorSurveyPoint,"SSProcess.GetCursorSurveyPoint(x, y, z)","获取当前光标实地坐标 Online Help 获取当前光标实地坐标 GetCursorSurveyPoint 函数 GetCursorSurveyPoint 函数 获取当前光标实地坐标。 SSProcess.GetCursorSurveyPoint(x, y, z) 参数 x 目前光标实地 x 坐标"
326,获取编码信息,GetFeatureCodeInfo,"SSProcess.GetFeatureCodeInfo(code, fields)","获取编码信息 Online Help 获取编码信息 GetFeatureCodeInfo 函数 GetFeatureCodeInfo 函数 清空显示可控对象条件信息。 SSProcess.GetFeatureCodeInfo(code, fields) 参数 code 要查找的编码 fields 要"
327,获取系统编码表,GetFeatureCodeTB,SSProcess.GetFeatureCodeTB(),获取系统编码表 Online Help 获取系统编码表 GetFeatureCodeTB 函数 GetFeatureCodeTB 函数 获取系统编码表。 SSProcess.GetFeatureCodeTB() 参数 说明 执行该函数，将返回当前系统使用的编码表名称。 示例 下面示例获取当前使用的编
328,获取属性编码与名称对照表,GetFieldCodeMap,"SSProcess.GetFieldCodeMap(tableName, fieldName, codes, names)","获取属性编码与名称对照表 Online Help 获取属性编码与名称对照表 GetFieldCodeMap 函数 GetFieldCodeMap 函数 获取属性编码与名称对照表。 SSProcess.GetFieldCodeMap(tableName, fieldName, codes, names"
329,获取分类号信息,GetFontClassInfo,"SSProcess.GetFontClassInfo(code, fields ） 参数 code 要查找的分类号 fields 要查找的分类号信息名称 , 有多个时用逗号分隔 , 分类号信息名称见下表： FontClass 分类号 FontColor 文字颜色 StringAngle 字串角度 FontName 字体名 FontWidth 字宽 FontHeight 字高 FontInterval 字隔 FontWeight 字重 IlaticAngle 斜体 WordAngle 字角度 DownAngle 耸肩 Underline 下划线 Memo 备注 LayerName 层名 FontByname 字体别名 Filter 是否过滤 Byname 别名 HS 对齐方式 说明 执行该函数可获取指定注记分类号的定义信息。 返回值为与 fields 信息个数对应的分类号信息 , 有多个时 , 用逗号分隔 , 如果内容为空 , 则指定分类号不存在。 示例 下面示例获取注记分类号 0 的字体名和分类名称信息： Sub OnClick()","获取分类号信息 Online Help 获取分类号信息 GetFontClassInfo 函数 GetFontClassInfo 函数 清空显示可控对象条件信息。 SSProcess.GetFontClassInfo(code, fields ） 参数 code 要查找的分类号 fields 要查找"
330,获取图廓编码,GetFrameCode,SSProcess.GetFrameCode(),获取图廓编码 Online Help 获取图廓编码 GetFrameCode 函数 GetFrameCode 函数 获取图廓编码。 SSProcess.GetFrameCode() 参数 说明 执行该函数，获取系统环境设置下面图廓的编码。 示例 Sub OnClick() SSProcess. Ge
331,申请对象ID,GetGeoID,SSProcess.GetGeoID(),申请对象ID Online Help 申请对象 ID GetGeoID 函数 GetGeoID 函数 申请对象 ID 。 SSProcess.GetGeoID() 参数 说明 该函数为系统设置函数，是指在当前最大地物 ID 的基础上申请对象 ID 。 示例 下面示例是申请的一个对象 ID ： Sub
332,获取当前最大地物ID,GetGeoMaxID,SSProcess.GetGeoMaxID(),获取当前最大地物ID Online Help 获取当前最大地物 ID GetGeoMaxID 函数 GetGeoMaxID 函数 获取当前最大地物 ID 。 SSProcess.GetGeoMaxID() 参数 说明 获取当前最大地物 ID 。 示例 Sub OnClick() a= SSProce
333,获取多列参数编辑框单元格信息,GetGridCellInfo,"SSProcess.GetGridCellInfo(row, col)","获取多列参数编辑框单元格信息 Online Help 获取多列参数编辑框单元格信息 GetGridCellInfo 函数 GetGridCellInfo 函数 获取多列参数编辑框单元格信息。 SSProcess.GetGridCellInfo(row, col) 参数 row 参数编辑框行号 col"
334,获取多列参数编辑框表格列数,GetGridColCount,SSProcess.GetGridColCount(),获取多列参数编辑框表格列数 Online Help 获取多列参数编辑框表格列数 GetGridColCount 函数 GetGridColCount 函数 获取多列参数编辑框表格列数。 SSProcess.GetGridColCount() 参数 说明 该函数获取多列参数编辑框表格列数 示例 Sub
335,获取多列参数编辑框表格行数,GetGridRowCount,SSProcess.GetGridRowCount(),获取多列参数编辑框表格行数 Online Help 获取多列参数编辑框表格行数 GetGridRowCount 函数 GetGridRowCount 函数 获取多列参数编辑框表格行数。 SSProcess.GetGridRowCount() 参数 说明 示例 Sub OnClick() ' 获取多行
336,获取表格当前选择行数,GetGridSelRowCount,SSProcess.GetGridSelRowCount(),获取表格当前选择行数 Online Help 获取表格当前选择行数 GetGridSelRowCount 函数 GetGridSelRowCount 函数 获取表格当前选择行数。 SSProcess.GetGridSelRowCount() 参数 说明
337,获取录入参数,GetInputParameter,SSProcess.GetInputParameter(name),获取录入参数 Online Help 获取录入参数 GetInputParameter 函数 GetInputParameter 函数 获取录入参数。 SSProcess.GetInputParameter(name) 参数 name 参数名称 说明 执行该函数，将弹出对话框，录入相应参数。
338,获取图层挂接的属性表,GetLayerAttrTableName,"SSProcess.GetLayerAttrTableName(layerName, tableType)","获取图层挂接的属性表 Online Help 获取图层挂接的属性表 GetLayerAttrTableName 函数 GetLayerAttrTableName 函数 获取图层挂接的属性表。 SSProcess.GetLayerAttrTableName(layerName, tableType) "
339,获取图层数,GetLayerCount,SSProcess.GetLayerCount(),获取图层数 Online Help 获取图层数 GetLayerCount 函数 GetLayerCount 函数 获取图层数。 SSProcess.GetLayerCount() 参数 返回系统图层个数。 说明 执行该函数，返回系统图层个数。 示例 下面获取系统图层个数： Sub OnClick(
340,获取图层名称,GetLayerName,SSProcess.GetLayerName(index),"获取图层名称 Online Help 获取图层名称 GetLayerName 函数 GetLayerName 函数 获取图层名称。 SSProcess.GetLayerName(index) 参数 index 要返回层名的索引号 , 从 0 到层数减一 说明 执行该函数，将返回指定索引的图层名称。 "
341,获取图层状态,GetLayerStatus,"SSProcess.GetLayerStatus(layername, type)","获取图层状态 Online Help 获取图层状态 GetLayerStatus 函数 GetLayerStatus 函数 获取图层状态。 SSProcess.GetLayerStatus(layername, type) 参数 layername 要查看的用户层名 type 用户层状态 1 （是否"
342,获取图廓层名,GetMapBoxLayerName,SSProcess.GetMapBoxLayerName (),获取图廓层名 Online Help 获取图廓层名 GetMapBoxLayerName 函数 GetMapBoxLayerName 函数 获取图廓层名。 SSProcess.GetMapBoxLayerName () 参数 说明 执行此函数将返回图廓层名称。 示例 下面示例将返回当前工程的图廓层层
343,获取分幅方式,GetMapBoxWay,SSProcess.GetMapBoxWay(),获取分幅方式 Online Help 获取分幅方式 SetMapBoxWay 函数 GetMapBoxWay 函数 设置分幅方式。 SSProcess.GetMapBoxWay() 参数 说明 执行此函数将返回分幅方式： 0. 矩形分幅； 1. 梯形分幅； 2. 斜分幅 示例 下面示例将返回当前工程
344,获取图幅格式,SetMapRowCol,"SSProcess.SetMapRowCol(row, col)","获取图幅格式 Online Help 获取图幅格式 GetMapRowCol 函数 GetMapRowCol 函数 获取图幅格式。 SSProcess.SetMapRowCol(row, col) 参数 row 矩形分幅规格高度 col 矩形分幅规格宽度 说明 该函数设置图幅规格。 示例 下面示例将"
345,获取地图比例尺,GetMapScale,SSProcess.GetMapScale(),获取地图比例尺 Online Help 获取地图比例尺 GetMapScale 函数 GetMapScale 函数 获取地图比例尺。 SSProcess.GetMapScale() 参数 返回地图比例尺分母。 说明 执行该函数，返回系统比例尺，本比例尺为软件设置菜单 -> 系统环境设 -> 图幅信息
346,获取数据库状态,GetMapStatus,SSProcess.GetMapStatus(type),获取数据库状态 Online Help 获取数据库状态 GetMapStatus 函数 GetMapStatus 函数 获取数据库状态。 SSProcess.GetMapStatus(type) 参数 type 数据库状态 2 （锁定数据库）、 4 （锁定地物显示列表）、 8 （锁定标注显示列表）、
347,获取系统注记模板表,GetNoteTemplateTB,SSProcess.GetNoteTemplateTB(),获取系统注记模板表 Online Help 获取系统注记模板表 GetNoteTemplateTB 函数 GetNoteTemplateTB 函数 获取系统注记模板表名称。 SSProcess.GetNoteTemplateTB() 参数 说明 执行该函数，将返回当前系统使用的注记分类表名称。 示例
348,读取自定义Ini文件参数,GetPrivateProfile,"SSProcess.GetPrivateProfile(strSection, strKey , strDefault, strInIfile)","读取自定义Ini文件参数 Online Help 读取自定义 Ini 文件参数 GetPrivateProfile 函数 GetPrivateProfile 函数 读取自定义 Ini 文件参数。 SSProcess.GetPrivateProfile(strSection, strKey , str"
349,获取选择集对象的最小外接多边形,GetSelectionObjExternalPolygon,SSProcess.GetSelectionObjExternalPolygon(gridSize),获取选择集对象的最小外接多边形 Online Help 获取选择集对象的最小外接多边形 GetSelectionObjExternalPolygon 函数 GetSelectionObjExternalPolygon 函数 获取选择集对象的最小外接多边形。 SSProcess.GetSelectio
350,获取系统符号描述表,GetSymbolScriptTB,SSProcess.GetSymbolScriptTB(),获取系统符号描述表 Online Help 获取系统符号描述表 GetSymbolScriptTB 函数 GetSymbolScriptTB 函数 获取系统符号描述表名称。 SSProcess.GetSymbolScriptTB() 参数 说明 执行该函数，将返回当前系统使用的符号描述表名称。 示例
351,删除定时器,KillTimer,SSProcess.KillTimer(nIDEvent),删除定时器 Online Help 删除定时器 KillTimer 函数 KillTimer 函数 删除定时器。 SSProcess.KillTimer(nIDEvent) 参数 nlDEvent 定时器的序号 说明 示例 scroll = 1 Sub OnInitScript() mode = 0
352,移动屏幕到指定位置,MoveScreen,"SSProcess.MoveScreen(x, y, movealways)","移动屏幕到指定位置 Online Help 移动屏幕到指定位置 MoveScreen 函数 MoveScreen 函数 移动屏幕到指定位置。 SSProcess.MoveScreen(x, y, movealways) 参数 x 将屏幕移动到的 x 坐标，以此 x 值为屏幕中心 x 坐标 y 将屏幕"
353,读取EPS工程参数,ReadEpsDBIni,SSProcess.ReadEpsDBIni,"读取EPS工程参数 Online Help 读取 EPS 工程参数 ReadEpsDBIni 函数 ReadEpsDBIni 函数 读取 EPS 工程参数。 SSProcess.ReadEpsDBIni （ strSection, strKey , strDefault) 参数 strSection"
354,读取EPSGlobal.Ini文件参数,ReadEpsGlobalIni,"SSProcess.ReadEpsGlobalIni(strSection, strKey, strDefault)",读取EPSGlobal.Ini文件参数 Online Help 读取 EPSGlobal.Ini 文件参数 ReadEpsGlobalIni 函数 ReadEpsGlobalIni 函数 读取 EpsGlobalIni 文件参数。 SSProcess.ReadEpsGlobalIni(strSect
355,读取EPS.Ini文件参数,ReadEpsIni,"SSProcess.ReadEpsIni(strSection, strKey,strDefault)","读取EPS.Ini文件参数 Online Help 读取 EPS.Ini 文件参数 ReadEpsIni 函数 ReadEpsIni 函数 读取 EPS.Ini 文件参数。 SSProcess.ReadEpsIni(strSection, strKey,strDefault) 参数 strSecti"
356,读取EPS模板参数,ReadEpsTemplateIni,"SSProcess.ReadEpsTemplateIni(strSection, strKey , strDefault)","读取EPS模板参数 Online Help 读取 EPS 模板参数 ReadEpsTemplateIni 函数 ReadEpsTemplateIni 函数 读取 EPS 模板参数。 SSProcess.ReadEpsTemplateIni(strSection, strKey , strDefaul"
357,读取EPS XML文件参数,ReadEpsXMLIni,"SSProcess.ReadEpsXMLIni(nSettingFile, strSection, strKey , strDefault)","读取EPS XML文件参数 Online Help 读取 EPS XML 文件参数 ReadEpsXMLIni 函数 ReadEpsXMLIni 函数 读物 EPS XML 文件参数。 SSProcess.ReadEpsXMLIni(nSettingFile, strSection, strKey "
358,刷新图形窗口,RefreshView,SSProcess.RefreshView(),刷新图形窗口 Online Help 刷新图形窗口 RefreshView 函数 RefreshView 函数 刷新图形窗口。 SSProcess.RefreshView() 参数 说明 执行该函数，可以刷新当前图形窗口。 示例
359,发送主框架窗口消息,SendFrameMessage,"SSProcess.SendFrameMessage(Msg, wParam, lParam)","发送主框架窗口消息 Online Help 发送主框架窗口消息 SendFrameMessage 函数 SendFrameMessage 函数 发送主框架窗口消息。 SSProcess.SendFrameMessage(Msg, wParam, lParam) 参数 Msg 主框架窗口内容 wPar"
360,发送视图窗口消息,SendViewMessage,"SSProcess.SendViewMessage(Msg, wParam, lParam)","发送视图窗口消息 Online Help 发送视图窗口消息 SendViewMessage 函数 SendViewMessage 函数 发送视图窗口消息。 SSProcess.SendViewMessage(Msg, wParam, lParam) 参数 Msg 视图窗口内容 wParam 视图窗口"
361,设置系统颜色表,SetColorInfoTB,SSProcess.SetColorInfoTB(colorInfoTB),设置系统颜色表 Online Help 设置系统颜色表 SetColorInfoTB 函数 SetColorInfoTB 函数 设置系统颜色表。 SSProcess.SetColorInfoTB(colorInfoTB) 参数 colorInfoTB 系统注记表名称 说明
362,设置当前处理操作进程提示,SetDealMsg,SSProcess.SetDealMsg(dealMsg),设置当前处理操作进程提示 Online Help 设置当前处理操作进程提示 SetDealMsg 函数 SetDealMsg 函数 设置当前处理操作进程提示。 SSProcess.SetDealMsg(dealMsg) 参数 dealMsg 提示标题 说明 示例 Sub OnClick() SSPr
363,设置编码信息,SetFeatureCodeInfo,"SSProcess.SetFeatureCodeInfo(code, fields, values)","设置编码信息 Online Help 设置编码信息 SetFeatureCodeInfo 函数 SetFeatureCodeInfo 函数 设置编码信息。 SSProcess.SetFeatureCodeInfo(code, fields, values) 参数 code 编码 Fields 添加数"
364,设置系统编码表,SetFeatureCodeTB,"SSProcess.SetFeatureCodeTB(featureTB,symbolscriptTB)","设置系统编码表 Online Help 设置系统编码表 SetFeatureCodeTB 函数 SetFeatureCodeTB 函数 设置系统编码表。 SSProcess.SetFeatureCodeTB(featureTB,symbolscriptTB) 参数 featureTB 编码表名称 s"
365,设置分类号信息,SetFontClassInfo,"SSProcess.SetFontClassInfo(code, fields, values)","设置分类号信息 Online Help 设置分类号信息 SetFontClassInfo 函数 SetFontClassInfo 函数 设置分类号信息。 SSProcess.SetFontClassInfo(code, fields, values) 参数 code 分类号编码 , 可查看 Note"
366,设置图廓编码,SetFrameCode,SSProcess.SetFrameCode(frmCode),设置图廓编码 Online Help 设置图廓编码 SetFrameCode 函数 SetFrameCode 函数 设置图廓编码。 SSProcess.SetFrameCode(frmCode) 参数 frmCode 图廓编码 说明 使用此函数将设置工程中的图廓编码。 示例 下面示例工程中的图廓编码
367,设置多列参数编辑框单元格信息,SetGridCellInfo,"SSProcess.SetGridCellInfo(row, col, value, options)","设置多列参数编辑框单元格信息 Online Help 设置多列参数编辑框单元格信息 SetGridCellInfo 函数 SetGridCellInfo 函数 设置多列参数编辑框单元格信息。 SSProcess.SetGridCellInfo(row, col, value, options) 参数"
368,设置多列参数编辑框表格信息,SetGridHeadInfo,"SSProcess.SetGridHeadInfo(columnNames, columnWidths, enableMarkSortedColumn, enableHeader, emptyRow)","设置多列参数编辑框表格信息 Online Help 设置多列参数编辑框表格信息 SetGridHeadInfo 函数 SetGridHeadInfo 函数 设置多列参数编辑框表格信息。 SSProcess.SetGridHeadInfo(columnNames, columnWidths, enab"
369,修改录入参数,SetInputParameter,"SSProcess.SetInputParameter(name, value)","修改录入参数 Online Help 修改录入参数 SetInputParameter 函数 SetInputParameter 函数 修改录入参数。 SSProcess.SetInputParameter(name, value) 参数 name 对话框录入参数名称 value 参数值 说明 使用"
